metric,value
cycles,25
tasks,20
simulated_time_ns,25
throughput_tasks_per_cycle,0.8
compute_busy_cycles,0
compute_utilization,0
compute_result_wait_cycles,0
output_period,1
parser_to_transform_capacity,64
parser_to_transform_average,0.8
parser_to_transform_peak,1
transform_to_compute_capacity,64
transform_to_compute_average,0.8
transform_to_compute_peak,1
compute_to_output_capacity,64
compute_to_output_average,0.8
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.6
transform_registers_peak,2
