metric,value
cycles,11913
tasks,250
simulated_time_ns,11913
throughput_tasks_per_cycle,0.0209854780492
compute_busy_cycles,11658
compute_utilization,0.97859481239
compute_result_wait_cycles,0
output_period,3
parser_to_transform_capacity,4
parser_to_transform_average,3.84067825065
parser_to_transform_peak,4
transform_to_compute_capacity,4
transform_to_compute_average,3.93687568203
transform_to_compute_peak,4
compute_to_output_capacity,4
compute_to_output_average,0.0412154788886
compute_to_output_peak,1
transform_registers_capacity,2
transform_registers_average,1.95475530933
transform_registers_peak,2
